RRi,RRii,RRi_interp,RRii_interp,freqs,periodogram,low_power,high_power,activitytype_daytime,activitytype,activitytype_interp,activitytype_daytime_interp,steps_daytime,steps,steps_interp,steps_daytime_interp,hr_daytime,hr,hr_interp,hr_daytime_interp,rMSSD,pNN50,Median,gt180,act_silent_percentage,act_walking_percentage,act_running_percentage,act_nonWear_percentage,act_REM_percentage,act_NREM_percentage,act_charging_percentage,act_undefined_percentage,act_silent_percentage_allday,act_walking_percentage_allday,act_running_percentage_allday,act_nonWear_percentage_allday,act_REM_percentage_allday,act_NREM_percentage_allday,act_charging_percentage_allday,act_undefined_percentage_allday
74,74,79,79,0.012156216,4820.933035,,,16.74472222,0,0,16.74472222,16.74472222,0,0,16.74472222,24.88470917,74,79,16.74472222,,,,,,,,,,,,,,,,,,,,
74,74,79,79,0.012205221,4830.660905,,,16.76138889,0,0,16.76138889,16.76138889,0,0,16.76138889,24.88474417,74,79,16.76138889,,,,,,,,,,,,,,,,,,,,
74,74,79,79,0.012254225,4840.439227,,,16.77805556,0,0,16.77805556,16.77805556,0,0,16.77805556,24.88776306,74,79,16.77805556,,,,,,,,,,,,,,,,,,,,
74,79,79,79,0.01230323,4850.268126,,,16.79472222,0,0,16.79472222,16.79472222,0,0,16.79472222,24.89663306,74,79,16.79472222,,,,,,,,,,,,,,,,,,,,
79,71,79,79,0.012352235,4860.147727,,,16.81138889,0,0,16.81138889,16.81138889,0,0,16.81138889,24.90663972,79,79,16.81138889,,,,,,,,,,,,,,,,,,,,
71,74,79,79,0.01240124,4870.078154,,,16.82805556,4,4,16.82805556,16.82805556,0,0,16.82805556,24.91527583,71,79,16.82805556,,,,,,,,,,,,,,,,,,,,
74,74,79,79,0.012450245,4880.059533,,,16.84472222,5,5,16.84472222,16.84472222,0,0,16.84472222,24.91895194,74,79,16.84472222,,,,,,,,,,,,,,,,,,,,
74,74,79,79,0.01249925,4890.091988,,,16.86138889,4,4,16.86138889,16.86138889,0,0,16.86138889,24.91983389,74,79,16.86138889,,,,,,,,,,,,,,,,,,,,
74,74,79,79,0.012548255,4900.175645,,,16.87805556,5,5,16.87805556,16.87805556,0,0,16.87805556,24.91984389,74,79,16.87805556,,,,,,,,,,,,,,,,,,,,
74,74,79,79,0.01259726,4910.31063,,,16.89472222,5,5,16.89472222,16.89472222,0,0,16.89472222,24.91984972,74,79,16.89472222,,,,,,,,,,,,,,,,,,,,
74,74,79,79,0.012646265,4920.497067,,,16.91138889,5,5,16.91138889,16.91138889,0,0,16.91138889,24.91985667,74,79,16.91138889,,,,,,,,,,,,,,,,,,,,
74,74,79,79,0.01269527,4930.735084,,,16.92805556,5,5,16.92805556,16.92805556,0,0,16.92805556,24.91986361,74,79,16.92805556,,,,,,,,,,,,,,,,,,,,
74,74,79,79,0.012744274,4941.024807,,,16.94472222,5,5,16.94472222,16.94472222,0,0,16.94472222,24.91987111,74,79,16.94472222,,,,,,,,,,,,,,,,,,,,
74,74,79,79,0.012793279,4951.366361,,,16.96138889,5,5,16.96138889,16.96138889,0,0,16.96138889,24.91987611,74,79,16.96138889,,,,,,,,,,,,,,,,,,,,
74,74,79,79,0.012842284,4961.759873,,,16.97805556,5,5,16.97805556,16.97805556,0,0,16.97805556,24.91988139,74,79,16.97805556,,,,,,,,,,,,,,,,,,,,
74,74,79,79,0.012891289,4972.20547,,,16.99472222,5,5,16.99472222,16.99472222,0,0,16.99472222,24.91988917,74,79,16.99472222,,,,,,,,,,,,,,,,,,,,
74,74,79,79,0.012940294,4982.703279,,,17.01138889,5,5,17.01138889,17.01138889,0,0,17.01138889,24.919895,74,79,17.01138889,,,,,,,,,,,,,,,,,,,,
74,79,79,79,0.012989299,4993.253426,,,17.02805556,5,5,17.02805556,17.02805556,0,0,17.02805556,24.91989944,74,79,17.02805556,,,,,,,,,,,,,,,,,,,,
79,79.05226717,79,79,0.013038304,5003.856039,,,17.04472222,5,5,17.04472222,17.04472222,0,0,17.04472222,24.926195,79,79,17.04472222,,,,,,,,,,,,,,,,,,,,
79.05226717,79.05226717,79,79,0.013087309,5014.511245,,,17.06138889,5,5,17.06138889,17.06138889,0,0,17.06138889,24.92817083,79.05226717,79,17.06138889,,,,,,,,,,,,,,,,,,,,
79.05226717,70,79,79,0.013136314,5025.219171,,,17.07805556,5,5,17.07805556,17.07805556,0,0,17.07805556,24.92818389,79.05226717,79,17.07805556,,,,,,,,,,,,,,,,,,,,
70,72,79,79,0.013185319,5035.979945,,,17.09472222,5,5,17.09472222,17.09472222,0,0,17.09472222,24.92820333,70,79,17.09472222,,,,,,,,,,,,,,,,,,,,
72,71,79,79,0.013234323,5046.793694,,,17.11138889,5,5,17.11138889,17.11138889,0,0,17.11138889,24.9282175,72,79,17.11138889,,,,,,,,,,,,,,,,,,,,
71,70,79,79,0.013283328,5057.660547,,,17.12805556,5,5,17.12805556,17.12805556,0,0,17.12805556,24.92822833,71,79,17.12805556,,,,,,,,,,,,,,,,,,,,
70,69,79,79,0.013332333,5068.580632,,,17.14472222,5,5,17.14472222,17.14472222,0,0,17.14472222,24.92823722,70,79,17.14472222,,,,,,,,,,,,,,,,,,,,
69,68,79,79,0.013381338,5079.554075,,,17.16138889,5,5,17.16138889,17.16138889,0,0,17.16138889,24.9282475,69,79,17.16138889,,,,,,,,,,,,,,,,,,,,
68,67,79,79,0.013430343,5090.581007,,,17.17805556,5,5,17.17805556,17.17805556,0,0,17.17805556,24.92844639,68,79,17.17805556,,,,,,,,,,,,,,,,,,,,
67,65,79,79,0.013479348,5101.661553,,,17.19472222,5,5,17.19472222,17.19472222,0,0,17.19472222,24.92873972,67,79,17.19472222,,,,,,,,,,,,,,,,,,,,
65,77,79,79,0.013528353,5112.795845,,,17.21138889,5,5,17.21138889,17.21138889,0,0,17.21138889,24.92901083,65,79,17.21138889,,,,,,,,,,,,,,,,,,,,
77,76,79,79,0.013577358,5123.984008,,,17.22805556,5,5,17.22805556,17.22805556,0,0,17.22805556,24.93097528,77,79,17.22805556,,,,,,,,,,,,,,,,,,,,
76,75,79,79,0.013626363,5135.226173,,,17.24472222,5,5,17.24472222,17.24472222,0,0,17.24472222,24.93099194,76,79,17.24472222,,,,,,,,,,,,,,,,,,,,
75,74,79,79,0.013675368,5146.522468,,,17.26138889,5,5,17.26138889,17.26138889,0,0,17.26138889,24.93146694,75,79,17.26138889,,,,,,,,,,,,,,,,,,,,
74,73,79,79,0.013724372,5157.873021,,,17.27805556,5,5,17.27805556,17.27805556,0,0,17.27805556,24.93147833,74,79,17.27805556,,,,,,,,,,,,,,,,,,,,
73,72,79,79,0.013773377,5169.277962,,,17.29472222,5,5,17.29472222,17.29472222,0,0,17.29472222,24.93151167,73,79,17.29472222,,,,,,,,,,,,,,,,,,,,
72,71,79,79,0.013822382,5180.737418,,,17.31138889,5,5,17.31138889,17.31138889,0,0,17.31138889,24.93152806,72,79,17.31138889,,,,,,,,,,,,,,,,,,,,
71,69,79,79,0.013871387,5192.25152,,,17.32805556,5,5,17.32805556,17.32805556,0,0,17.32805556,24.93153667,71,79,17.32805556,,,,,,,,,,,,,,,,,,,,
69,79,79,79,0.013920392,5203.820397,,,17.34472222,5,5,17.34472222,17.34472222,0,0,17.34472222,24.93324444,69,79,17.34472222,,,,,,,,,,,,,,,,,,,,
